MMSI,IMO,STATUS,SPEED,LON,LAT,COURSE,HEADING,TIMESTAMP,SHIP_ID
316035891,9780768,0,73,-54.225070,46.491630,141,148,2021-01-01T06:15:00,5149482
316035891,9780768,0,73,-54.117510,46.399630,141,147,2021-01-01T07:15:00,5149482
316035891,9780768,0,75,-53.964140,46.356910,93,95,2021-01-01T08:14:00,5149482
316035891,9780768,0,71,-53.786950,46.351540,83,92,2021-01-01T09:14:00,5149482
316035891,9780768,0,70,-53.620230,46.347890,99,98,2021-01-01T10:14:00,5149482
316035891,9780768,0,66,-53.458660,46.341310,94,94,2021-01-01T11:13:00,5149482
316035891,9780768,0,49,-53.321840,46.338080,90,95,2021-01-01T12:13:00,5149482
316035891,9780768,0,49,-53.197530,46.335870,93,95,2021-01-01T13:13:00,5149482
316035891,9780768,0,72,-53.020830,46.329010,93,95,2021-01-01T14:13:00,5149482
316035891,9780768,0,70,-52.850350,46.325550,92,89,2021-01-01T15:13:00,5149482
316035891,9780768,0,70,-52.682080,46.325980,93,90,2021-01-01T16:13:00,5149482
316035891,9780768,0,72,-52.511800,46.322710,91,89,2021-01-01T17:13:00,5149482
316035891,9780768,0,127,-52.882520,46.283140,268,271,2021-01-06T11:42:00,5149482
316035891,9780768,0,97,-53.144040,46.284550,273,270,2021-01-06T12:41:00,5149482
316035891,9780768,0,92,-53.367810,46.280370,267,268,2021-01-06T13:41:00,5149482
316035891,9780768,0,93,-53.590780,46.275760,271,271,2021-01-06T14:40:00,5149482
316035891,9780768,0,88,-53.801050,46.279560,272,271,2021-01-06T15:39:00,5149482
316035891,9780768,0,92,-53.986460,46.338730,300,301,2021-01-06T16:39:00,5149482
316035891,9780768,0,92,-54.172160,46.417680,300,301,2021-01-06T17:38:00,5149482
316035891,9780768,0,89,-54.356800,46.496580,299,301,2021-01-06T18:38:00,5149482
316035891,9780768,0,88,-54.541810,46.574450,303,301,2021-01-06T19:39:00,5149482
316035891,9780768,0,94,-54.664120,46.737770,35,38,2021-01-06T22:46:00,5149482
316035891,9780768,0,92,-54.534250,46.857670,36,38,2021-01-06T23:47:00,5149482
316035891,9780768,0,109,-54.010530,47.559770,351,350,2021-01-07T04:20:00,5149482
316035891,9780768,0,59,-54.048630,47.691480,349,350,2021-01-07T05:20:00,5149482
316035891,9780768,0,32,-54.033370,47.773540,47,46,2021-01-07T06:19:00,5149482
316035891,9780768,0,104,-54.054260,47.745630,182,180,2021-01-08T08:03:00,5149482
316035891,9780768,0,143,-54.022420,47.494810,201,202,2021-01-08T09:12:00,5149482
316035891,9780768,0,124,-54.428930,46.670820,125,128,2021-01-08T14:34:00,5149482
316035891,9780768,0,137,-54.163090,46.632760,56,62,2021-01-08T15:34:00,5149482
316035891,9780768,0,143,-53.866520,46.736430,67,67,2021-01-08T16:33:00,5149482
316035891,9780768,0,116,-53.759550,46.941370,13,13,2021-01-08T17:33:00,5149482
316035891,9780768,0,117,-53.763710,46.955290,200,198,2021-01-10T20:31:00,5149482
316035891,9780768,0,113,-53.858680,46.775540,200,198,2021-01-10T21:31:00,5149482
316035891,9780768,0,85,-53.897020,46.606740,151,146,2021-01-10T22:31:00,5149482
316035891,9780768,0,68,-53.804810,46.507280,142,136,2021-01-10T23:30:00,5149482
316035891,9780768,0,64,-53.708880,46.420830,142,132,2021-01-11T00:30:00,5149482
316035891,9780768,0,66,-53.612510,46.335900,146,138,2021-01-11T01:29:00,5149482
316035891,9780768,0,65,-53.496850,46.280650,94,86,2021-01-11T02:29:00,5149482
316035891,9780768,0,60,-53.345830,46.280350,86,79,2021-01-11T03:29:00,5149482
316035891,9780768,0,58,-53.202130,46.279680,91,79,2021-01-11T04:29:00,5149482
316035891,9780768,0,51,-53.074520,46.286190,74,63,2021-01-11T05:29:00,5149482
316035891,9780768,0,56,-52.955370,46.304950,105,90,2021-01-11T06:28:00,5149482
316035891,9780768,0,54,-52.826920,46.286920,96,80,2021-01-11T07:28:00,5149482
316035891,9780768,0,64,-52.628550,46.284900,81,70,2021-01-11T09:03:00,5149482
316035891,9780768,0,116,-52.755800,46.285180,270,269,2021-01-15T09:34:00,5149482
316035891,9780768,0,122,-53.036170,46.276550,267,272,2021-01-15T10:33:00,5149482
316035891,9780768,0,103,-53.307480,46.279170,273,272,2021-01-15T11:32:00,5149482
316035891,9780768,0,99,-53.552520,46.281500,269,269,2021-01-15T12:32:00,5149482
316035891,9780768,0,97,-53.786410,46.278700,268,269,2021-01-15T13:32:00,5149482
316035891,9780768,0,94,-53.990530,46.337450,303,305,2021-01-15T14:32:00,5149482
316035891,9780768,0,66,-54.150980,46.407780,300,303,2021-01-15T15:31:00,5149482
316035891,9780768,0,65,-54.288090,46.462710,300,303,2021-01-15T16:31:00,5149482
316035891,9780768,0,63,-54.417150,46.518580,303,307,2021-01-15T17:31:00,5149482
316035891,9780768,0,63,-54.557300,46.585110,306,308,2021-01-15T18:37:00,5149482
316035891,9780768,0,116,-54.543060,46.847440,31,33,2021-01-16T14:03:00,5149482
316035891,9780768,0,59,-54.043120,47.667270,350,350,2021-01-16T19:32:00,5149482
316035891,9780768,0,26,-54.056680,47.758670,20,20,2021-01-16T20:37:00,5149482
316035891,9780768,0,17,-54.025420,47.776140,106,106,2021-01-16T21:37:00,5149482
316035891,9780768,0,11,-54.016720,47.775070,280,250,2021-01-18T00:34:00,5149482
